scenario,seed,config_label,allocator,timeout,task_completion_rate,never_completed_tasks,mean_task_delay,max_task_delay,congestion_drop_rate,mean_completion_time,deadlock_timeout_fires
comm_blackout,9999,CBBA,cbba,30,1.0,0,62.266666666666666,124.0,0.11764705882352941,151.06666666666666,0
comm_blackout,10,CBBA,cbba,30,1.0,0,57.06666666666667,181.0,0.07228915662650602,132.73333333333332,0
comm_blackout,20,CBBA,cbba,30,0.9333333333333333,1,84.46666666666667,366.0,0.10614525139664804,138.0,0
comm_blackout,30,CBBA,cbba,30,1.0,0,64.33333333333333,143.0,0.13392857142857142,128.4,0
comm_blackout,40,CBBA,cbba,30,0.9333333333333333,1,82.2,321.0,0.1031390134529148,180.85714285714286,0
comm_blackout,50,CBBA,cbba,30,1.0,0,50.46666666666667,132.0,0.11538461538461539,110.93333333333334,0
comm_blackout,60,CBBA,cbba,30,1.0,0,46.333333333333336,113.0,0.1456953642384106,107.73333333333333,0
comm_blackout,70,CBBA,cbba,30,1.0,0,62.666666666666664,254.0,0.11464968152866242,127.2,0
comm_blackout,80,CBBA,cbba,30,0.9333333333333333,1,71.93333333333334,276.0,0.10606060606060606,139.0,0
comm_blackout,90,CBBA,cbba,30,1.0,0,48.8,118.0,0.10091743119266056,125.13333333333334,0
comm_blackout,1000,CBBA,cbba,30,0.7333333333333333,4,69.06666666666666,222.0,0.12605042016806722,184.36363636363637,0
mass_fault,42,CBBA,cbba,30,1.0,0,45.86666666666667,116.0,0.17582417582417584,149.93333333333334,0
mass_fault,100,CBBA,cbba,30,1.0,0,69.8,300.0,0.1282051282051282,143.73333333333332,0
mass_fault,2023,CBBA,cbba,30,0.9333333333333333,1,97.8,341.0,0.11822660098522167,189.42857142857142,0
mass_fault,888,CBBA,cbba,30,1.0,0,57.8,157.0,0.13513513513513514,143.4,0
mass_fault,9999,CBBA,cbba,30,0.9333333333333333,1,78.4,251.0,0.10849056603773585,155.07142857142858,0
mass_fault,10,CBBA,cbba,30,1.0,0,63.86666666666667,184.0,0.11811023622047244,139.53333333333333,0
mass_fault,20,CBBA,cbba,30,1.0,0,63.53333333333333,175.0,0.1527777777777778,144.93333333333334,0
mass_fault,30,CBBA,cbba,30,1.0,0,71.93333333333334,166.0,0.12096774193548387,135.33333333333334,0
mass_fault,40,CBBA,cbba,30,0.8666666666666667,2,87.73333333333333,376.0,0.1148936170212766,163.46153846153845,0
mass_fault,50,CBBA,cbba,30,1.0,0,50.86666666666667,190.0,0.13675213675213677,114.0,0
mass_fault,60,CBBA,cbba,30,1.0,0,47.0,108.0,0.13793103448275862,111.2,0
mass_fault,70,CBBA,cbba,30,1.0,0,61.333333333333336,251.0,0.12650602409638553,122.46666666666667,0
mass_fault,80,CBBA,cbba,30,0.9333333333333333,1,73.26666666666667,276.0,0.125,137.42857142857142,0
mass_fault,90,CBBA,cbba,30,1.0,0,52.46666666666667,150.0,0.13836477987421383,134.93333333333334,0
mass_fault,1000,CBBA,cbba,30,0.8666666666666667,2,88.4,214.0,0.17446808510638298,200.69230769230768,0
none,42,Vanilla Auction,vanilla_auction,30,1.0,0,72.13333333333334,204.0,0.0,113.66666666666667,0
none,100,Vanilla Auction,vanilla_auction,30,1.0,0,72.66666666666667,199.0,0.0,117.53333333333333,0
none,2023,Vanilla Auction,vanilla_auction,30,1.0,0,76.0,203.0,0.0,124.13333333333334,0
none,888,Vanilla Auction,vanilla_auction,30,1.0,0,75.8,233.0,0.0,118.4,0
none,9999,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,102.73333333333333,233.0,0.0,147.64285714285714,0
none,10,Vanilla Auction,vanilla_auction,30,1.0,0,89.13333333333334,149.0,0.0,211.66666666666666,0
none,20,Vanilla Auction,vanilla_auction,30,1.0,0,81.06666666666666,211.0,0.0,136.66666666666666,0
none,30,Vanilla Auction,vanilla_auction,30,1.0,0,72.6,187.0,0.0,114.4,0
none,40,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,86.33333333333333,391.0,0.0,98.42857142857143,0
none,50,Vanilla Auction,vanilla_auction,30,1.0,0,71.6,181.0,0.0,116.2,0
none,60,Vanilla Auction,vanilla_auction,30,1.0,0,73.06666666666666,248.0,0.0,97.4,0
none,70,Vanilla Auction,vanilla_auction,30,1.0,0,65.26666666666667,147.0,0.0,106.2,0
none,80,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,87.66666666666667,291.0,0.0,121.0,0
none,90,Vanilla Auction,vanilla_auction,30,1.0,0,77.26666666666667,193.0,0.0,131.06666666666666,0
none,1000,Vanilla Auction,vanilla_auction,30,0.9333333333333333,1,95.46666666666667,261.0,0.0,126.42857142857143,0
amv_loss,42,Vanilla Auction,vanilla_auction,30,0.8666666666666667,2,113.53333333333333,428.0,0.0,101.84615384615384,0
amv_loss,100,Vanilla Auction,vanilla_auction,30,0.8666666666666667,2,106.66666666666667,435.0,0.0,97.76923076923077,0
amv_loss,2023,Vanilla Auction,vanilla_auction,30,0.8666666666666667,2,106.93333333333334,463.0,0.0,103.38461538461539,0
amv_loss,888,Vanilla Auction,vanilla_auction,30,0.8666666666666667,2,114.33333333333333,452.0,0.0,104.76923076923077,0
amv_loss,9999,Vanilla Auction,vanilla_auction,30,0.8,3,131.2,390.0,0.0,126.0,0
amv_loss,10,Vanilla Auction,vanilla_auction,30,0.6666666666666666,5,122.66666666666667,461.0,0.0,206.3,0
amv_loss,20,Vanilla Auction,vanilla_auction,30,0.8666666666666667,2,119.4,452.0,0.0,133.30769230769232,0
amv_loss,30,Vanilla Auction,vanilla_auction,30,0.8666666666666667,2,110.2,429.0,0.0,98.3076923076923,0
